ID,TARGET,POS,INDEX,TEXT,CONC_AVG,CONC_SD,WN_SYNSET,TARGET_LEXICAL_ACCESSIBILITY,SENTENCE_LEXICAL_ACCESSIBILITY,LEXICAL_DENSITY,SENTENCE_LENGTH,CLAUSES,AVG_TOKEN_PER_CLAUSE,SYNTACTIC_TREE_DEPTH
21,attivare,V,11,Lo zucchero fornirà il nutrimento necessario al lievito per incoraggiarlo ad attivare il suo metabolismo. ,3.73,1.73,01643657-v,0.423,0.3076,0.470588235,18,3,6,4
19,attivare,V,13,"Ruota le caviglie e allunga i quadricipiti e i polpacci, così da attivare la circolazione. ",4.68,1.47,01643657-v,0.423,0.2896,0.533333333,17,3,5.666666667,4
22,attivare,V,7,Camminare anche solo per poco tempo può attivare la mente e il corpo. ,3.43,1.85,01643657-v,0.423,0.197714286,0.538461539,14,2,7,4
427,automobile,N,13,"Attualmente la forma più comune di inquinamento acustico deriva dai trasporti, soprattutto automobili, motociclette e aeroplano. ",6.57,0.86,02958343-n,0.462,0.273555556,0.705882353,20,2,10,3
425,automobile,N,2,Guidare un'automobile è una delle cose potenzialmente più pericolose che si possa fare. ,6.23,1.5,02958343-n,0.462,0.228,0.466666667,16,3,5.333333333,3
426,automobile,N,2,Guidare un'automobile con cambio automatico è più semplice rispetto a guidarne una con cambio manuale. ,6.96,0.19,02958343-n,0.462,0.2744,0.588235294,18,3,6,4
428,automobile,N,10,Alcuni meccanici si specializzano in particolari tipi di riparazione di automobili. ,6.48,1.34,02958343-n,0.462,0.300727273,0.545454546,12,1,12,4
430,automobile,N,3,Il radiatore dell'automobile svolge un ruolo importante di regolazione della temperatura del motore. ,6.39,1.17,02958343-n,0.462,0.241066667,0.470588235,18,1,18,5
429,automobile,N,6,La corretta installazione del seggiolino per automobile viene spesso sottovalutata e mette in pericolo la vita del neonato. ,6.52,0.91,02958343-n,0.462,0.276058824,0.5,21,2,10.5,4
123,avventura,N,16,Circa i 2/3 degli uomini che tradiscono rivela di sentirsi in colpa dopo aver avuto un'avventura extraconiugale.,3.96,1.78,13931436-n,0.423,0.285368421,0.45,21,4,5.25,4
124,avventura,N,6,"Dal momento che la storia d'avventura è ormai conclusa, scrivine il titolo. ",3.19,1.67,00796315-n,0.423,0.225533333,0.5,16,1,16,4
122,avventura,N,11,Prepara il discorso che farai alla persona con cui hai un'avventura ed esponi le cose in modo definitivo. ,3.5,1.31,13931436-n,0.423,0.253,0.5,21,4,5.25,6
121,avventura,N,9,Regalati una vacanza o un weekend all'insegna dell'avventura. ,2.97,1.52,00796315-n,0.423,0.269181818,0.416666667,13,1,13,3
512,bambino,N,2,Adulti e bambini devono avere il passaporto per espatriare anche via mare o terra. ,6.1,1.4,09917593-n,0.308,0.243666667,0.571428571,15,2,7.5,4
513,bambino,N,7,"Prima della data prevista della nascita del bambino, devi stabilire chi sarà presente per aiutarti. ",6.67,0.61,09918248-n,0.346,0.2331875,0.444444444,20,2,10,4
24,benedire,V,2,"Impara a benedire, invece che a criticare. ",1.93,1.21,02264075-v,0.577,0.245125,0.571428571,9,3,3,4
23,benedire,V,11,Ricorda che l'intelligenza e la cultura sono andate a farsi benedire. ,1.44,1.01,,0.577,0.218846154,0.461538462,14,4,3.5,4
25,calciare,V,1,Non calciare il pallone troppo in alto. ,6.34,1.19,01371756-v,0.654,0.2405,0.714285714,8,1,8,2
27,calciare,V,10,Fai il primo passo con il piede che usi per calciare. ,6.13,1.36,01371756-v,0.654,0.248181818,0.545454546,12,3,4,5
26,calciare,V,4,"Hai mai imprecato, calciato qualcosa e urlato frasi oscene, spaventando chi ti era vicino? ",6.03,1.6,01371756-v,0.654,0.3605625,0.571428571,17,5,3.4,3
28,calciare,V,6,Lo stretching costante ti permetterà di calciare più in alto e più velocemente. ,6.43,0.98,01371756-v,0.654,0.269307692,0.615384615,14,2,7,3
421,campione,N,3,"Generalmente, un campione di sangue verrà sottoposto a diversi esami differenti, oltre a quello per il colesterolo. ",6.1,1.42,05266879-n,0.385,0.232888889,0.470588235,20,1,20,3
423,campione,N,2,Osservare un campione al microscopio permette di focalizzarlo meglio e di analizzarlo in modo più particolareggiato. ,6,1.26,09421425-n,0.385,0.2908125,0.52631579,20,4,5,5
424,campione,N,6,Alcuni marchi di profumi possono fare campioni omaggio quando un nuovo profumo viene lanciato sul mercato. ,6.52,1.05,05821775-n,0.423,0.273823529,0.529411765,18,2,9,3
422,campione,N,12,"Poiché alcuni test sono influenzati dal momento in cui viene raccolto il campione, questo deve essere riportato in ogni relazione. ",5.07,1.9,09421425-n,0.385,0.234476191,0.333333333,23,3,7.666666667,5
419,campione,N,6,Il medico di solito preleva un campione di tessuto per farlo analizzare. ,6.43,1.3,09421425-n,0.385,0.256333333,0.538461539,14,3,4.666666667,3
420,campione,N,8,Le fiere e altri festival di solito offrono campioni gratuiti per far avvicinare i passanti. ,5.97,1.54,05821775-n,0.423,0.274,0.666666667,16,3,5.333333333,4
223,campo,N,1,"I campi da calcio, da football e i parchi ( senza alberi ) sono ottime soluzioni. ",6.68,0.74,08570758-n,0.346,0.2330625,0.5,18,1,18,3
221,campo,N,2,Restringi il campo della tua ricerca includendo informazioni più specifiche. ,2.37,1.6,05996646-n,0.269,0.279636364,0.636363636,12,2,6,4
225,campo,N,4,"I luoghi ideali includono campi, prati, colline, e il tuo giardino. ",6.51,1.25,09393605-n,0.346,0.269153846,0.636363636,15,1,15,3
224,campo,N,2,Il loro campo d'azione è limitato dal tipo di legge da essi praticata. ,1.8,1.16,05125377-n,0.269,0.199933333,0.4,16,2,8,5
222,campo,N,6,"Se verrai mai coinvolto in un campo di battaglia, ringrazierai i tuoi istruttori. ",4.73,1.86,08551628-n,0.269,0.2616,0.461538462,15,2,7.5,4
226,campo,N,4,"Dopo aver impostato i campi, clicca su crea filtro. ",4.47,1.93,05932891-n,0.346,0.272727273,0.444444444,11,1,11,3
299,casa,N,12,Prepara una cenetta romantica oppure prendi delle pietanze da asporto tornando a casa. ,6.5,0.78,03259505-n,0.269,0.335142857,0.571428571,15,3,5,4
302,casa,N,4,Tenere una volpe in casa è illegale in molti paesi. ,6.03,1.38,03259505-n,0.269,0.2423,0.4,11,2,5.5,4
301,casa,N,15,Il tempo necessario a costruire la tua casa in legno dipende interamente dalla tipologia di casa che stai costruendo. ,6.81,0.68,03544360-n,0.269,0.230789474,0.55,21,4,5.25,4
300,casa,N,10,Evita di cucinare tanto o di fare altri lavori di casa. ,5.11,1.89,03259505-n,0.269,0.2423,0.545454546,12,3,4,6
490,causa,N,2,Individua la causa che provoca i crampi alla coscia. ,3.76,1.98,07326557-n,0.308,0.2653,0.5,11,2,5.5,5
488,causa,N,5,Lo stress può essere la causa dei problemi di acidità di stomaco. ,3.52,1.84,07326557-n,0.308,0.224333333,0.384615385,14,1,14,4
491,causa,N,2,"Spesso la causa dell'otite è un'infezione batterica, che avviene durante una malattia di base. ",3.85,1.95,07326557-n,0.308,0.226444444,0.470588235,19,2,9.5,4
489,causa,N,5,L'aumento della temperatura è causa di stress per i pesci rossi. ,3.77,1.86,07326557-n,0.308,0.216076923,0.461538462,14,1,14,3
492,causa,N,1,Due cause comuni di morte infantile sono la malnutrizione e l'avvelenamento. ,4.3,2.18,07326557-n,0.385,0.25,0.5,13,1,13,3
493,causa,N,4,C'è sempre una causa di fondo per l'ansia e il panico. ,2.9,1.58,07326557-n,0.308,0.177538462,0.461538462,14,1,14,4
102,città,N,4,Nella maggior parte delle città troverai piste ciclabili. ,6.2,1.37,08524735-n,0.269,0.282,0.6,11,1,11,3
101,città,N,8,"Aggiungi i dati su lavoro, istruzione, città in cui vivi, etc. ",5.73,1.48,08524735-n,0.269,0.249833333,0.636363636,15,1,15,5
29,coccolare,V,6,Anche solo pochi minuti passati a coccolare il tuo animaletto adorato possono sicuramente tirarti su. ,5.7,1.46,01425511-v,0.615,0.314875,0.625,17,3,5.666666667,5
32,coccolare,V,4,Ogni tanto cerca di coccolare il tuo corpo. ,4.41,1.58,,0.615,0.235,0.5,9,2,4.5,3
30,coccolare,V,2,"Abbracciare, coccolare o baciare una persona cara allevierà l'ansia e ti farà sentire amato. ",5.94,1.27,01425511-v,0.615,0.3340625,0.666666667,17,7,2.428571429,4
31,coccolare,V,6,È il momento di smettere di coccolare i figli quando diventano adulti. ,4.97,1.69,,0.615,0.24675,0.5,13,4,3.25,4
370,colore,N,4,Continua a mescolare i colori finché la pittura non sarà distribuita uniformemente. ,6.46,1.01,03875218-n,0.346,0.278,0.583333333,13,3,4.333333333,4
372,colore,N,8,Ogni persona può avere gli occhi di diversi colori. ,5.97,1.36,04956594-n,0.346,0.2077,0.444444444,10,1,10,3
369,colore,N,16,"L'autunno è il periodo migliore per controllare l'albero, quando le foglie cambiano i colori. ",5.8,1.4,04956594-n,0.346,0.233125,0.5,18,3,6,3
371,colore,N,15,"Puoi utilizzare la scorza del limone come decorazione, se vuoi aggiungere un tocco di colore a un piatto o a un cocktail. ",4.73,1.7,04956594-n,0.346,0.256428571,0.391304348,25,2,12.5,4
245,colpa,N,5,Preparati a prenderti tutta la colpa e nessun merito. ,2.1,1.45,04669692-n,0.385,0.25,0.4,11,2,5.5,3
246,colpa,N,3,Non sentirti in colpa per il fatto di goderti la vita. ,1.83,1.12,07536245-n,0.385,0.198666667,0.461538462,14,2,7,5
33,colpire,V,0,Colpisci il tamburo piegando il polso per muovere la bacchetta su e giù. ,6.52,1.01,01236164-v,0.654,0.313461539,0.615384615,14,3,4.666666667,6
35,colpire,V,7,L'influenza è un'infezione virale che colpisce il sistema respiratorio. ,3.74,1.95,01236164-v,0.423,0.249916667,0.545454546,12,2,6,3
34,colpire,V,3,"Il diabete può colpire chiunque: giovani, anziani, maschi o femmine. ",3.89,1.94,01236164-v,0.462,0.257538462,0.6,14,1,14,3
36,colpire,V,5,I ragazzi sono sempre piacevolmente colpiti dalle ragazze col senso dell'umorismo. ,2.53,1.83,01767949-v,0.462,0.278153846,0.466666667,16,1,16,3
307,commissione,N,4,Una presentazione davanti alla commissione è solitamente richiesta e il pubblico spesso è consentito. ,6.54,0.71,08324514-n,0.346,0.219785714,0.533333333,16,2,8,4
305,commissione,N,15,"Prova a indossare abiti carini, eleganti ma semplici, quando ti rechi a fare commissioni. ",4.58,1.7,00731947-n,0.385,0.318066667,0.642857143,17,4,4.25,7
306,commissione,N,16,"L'aspetto negativo delle agenzie è il costo più alto, poiché bisogna pagare loro una commissione che viene compresa nel prezzo. ",5.23,1.74,13320860-n,0.346,0.224043478,0.47826087,25,4,6.25,6
308,commissione,N,4,Se stai lavorando su commissione potresti avere la tentazione di vendere sempre a un prezzo superiore. ,3.43,1.81,06529219-n,0.346,0.248882353,0.5625,17,4,4.25,6
37,concentrare,V,10,"Inizia con dei massaggi di 30 minuti alla gamba, concentrandoti sui muscoli anteriori e posteriori della coscia.",2.9,1.56,00722232-v,0.846,0.293473684,0.409090909,24,1,24,5
40,concentrare,V,11,"Invece di cercare di sviluppare decine di poteri psichici simultaneamente, concentrati su una abilità alla volta. ",2.57,1.61,00722232-v,0.5,0.274,0.588235294,19,3,6.333333333,5
38,concentrare,V,4,Chiudi gli occhi e concentrati sul respiro che entra ed esce dal tuo corpo. ,4.52,1.91,00722232-v,0.5,0.2616,0.4375,17,4,4.25,6
39,concentrare,V,0,"Concentrandoti sugli aspetti positivi, riuscirai a essere più estroverso e osare di più nella vita. ",2.93,1.54,00722232-v,0.846,0.2764375,0.5,20,4,5,4
536,coppia,N,4,Lo sai che molte coppie sposate si sono conosciute sul posto di lavoro? ,6.26,1.16,07988857-n,0.423,0.247214286,0.428571429,15,2,7.5,4
539,coppia,N,4,Un dittongo è una coppia di vocali che forma un singolo suono. ,4.58,2.01,07985223-n,0.385,0.243583333,0.5,13,2,6.5,4
541,coppia,N,5,"Solleva il carrello, una coppia di ruote alla volta, per fargli superare la soglia d'ingresso. ",5.89,1.57,07985223-n,0.385,0.237166667,0.5,21,3,7,5
540,coppia,N,6,Ogni atomo di azoto presenta una coppia di elettroni e tre elettroni spaiati. ,4.09,1.72,07985223-n,0.385,0.307583333,0.538461539,14,1,14,4
538,coppia,N,2,Raggruppa a coppie le cifre del numero sotto il segno del radicale. ,4.53,1.87,07985223-n,0.423,0.249833333,0.428571429,15,1,15,5
537,coppia,N,5,Sperimenta il ballo liscio in coppia oppure azzarda una danza irlandese. ,5.93,1.05,07976936-n,0.385,0.326833333,0.636363636,12,2,6,3
374,corpo,N,6,"Quando ci prendiamo cura del nostro corpo, miglioriamo il nostro stato emotivo e psicologico. ",6.1,1.18,05216365-n,0.308,0.2538,0.466666667,17,2,8.5,5
373,corpo,N,1,Il corpo umano è abitudinario e rispetta dei ritmi biologici ben precisi. ,6.2,1.19,05216365-n,0.308,0.281,0.615384615,14,2,7,4
498,crisi,N,4,"La caffeina può scatenare crisi da astinenza, con sintomi quali mal di testa e difficoltà di concentrazione. ",4.26,1.89,14081375-n,0.346,0.254166667,0.529411765,19,1,19,6
499,crisi,N,1,Una crisi di identità può verificarsi a qualsiasi età. ,2.26,0.98,14081375-n,0.346,0.2154,0.4,11,1,11,3
500,crisi,N,5,Non è facile superare una crisi finanziaria o evitare di indebitarsi. ,3.67,1.73,14489113-n,0.346,0.237166667,0.583333333,13,4,3.25,3
501,crisi,N,14,"Che tu stia organizzando una cena elegante o informale, apparecchiare può metterti in crisi. ",2.39,1.6,14081375-n,0.346,0.290875,0.466666667,17,3,5.666666667,5
41,cucinare,V,6,"Se la ricetta ti indica di cucinare il pollo non spellato, è quello che devi fare. ",6.4,0.97,01664172-v,0.5,0.228666667,0.4375,18,4,4.5,5
43,cucinare,V,0,Cucinare è qualcosa che può fare praticamente chiunque. ,6.03,1.27,01665638-v,0.5,0.235111111,0.375,9,3,3,3
42,cucinare,V,2,"Una volta cucinato l'arrosto, nella pentola rimane un fondo con tutti i sughi della carne. ",6.33,1,01664172-v,0.577,0.255588235,0.444444444,20,2,10,4
44,cucinare,V,7,"Magari nelle giornate lavorative ti risulta difficile cucinare, ma nei giorni liberi passi più tempo in cucina. ",5.3,1.77,01665638-v,0.5,0.26731579,0.631578947,21,3,7,3
334,cuore,N,9,Controllare le tue pulsazioni ti permette di monitorare il cuore senza particolari strumenti. ,6,1.77,05388805-n,0.308,0.272,0.538461539,14,3,4.666666667,3
333,cuore,N,7,"Lei preferisce i doni fatti con il cuore, non qualcosa che compri solo per fare bella figura. ",2.53,1.89,05919263-n,0.308,0.224684211,0.588235294,19,4,4.75,5
336,cuore,N,11,Usa un coltello per rimuovere la parte centrale e mangia il cuore del carciofo. ,6.35,1.13,08523483-n,0.308,0.238466667,0.533333333,16,3,5.333333333,4
335,cuore,N,11,"Modifica la postura in cui dormi, se ti svegli nel cuore della notte. ",2.12,1.37,08523483-n,0.308,0.235866667,0.4,17,3,5.666666667,6
46,danneggiare,V,6,Un eccessivo consumo di alcool può danneggiare i vasi sanguigni della pelle. ,5.47,1.38,00258857-v,0.5,0.287076923,0.538461539,14,1,14,3
48,danneggiare,V,6,Dovrai sbarazzarti di alcuni pensieri che danneggiano la tua autostima. ,2,1.11,00260470-v,0.577,0.314636364,0.5,11,2,5.5,4
45,danneggiare,V,9,Un giradischi regolato male o peggio ancora rotto potrebbe danneggiare il disco. ,5.63,1.35,00477941-v,0.5,0.301846154,0.666666667,13,2,6.5,4
47,danneggiare,V,4,Alcune pagine web possono danneggiare il tuo computer. ,4.18,1.69,00260470-v,0.5,0.264888889,0.5,9,1,9,2
49,decomporre,V,5,La luce del sole fa decomporre più velocemente le feci ed evita problemi. ,5.38,1.48,00209837-v,0.731,0.274714286,0.642857143,15,3,5,3
50,decomporre,V,8,"Foglie o altri detriti organici, se lasciati decomporre, possono macchiare il fondo della piscina. ",5.4,1.41,00209837-v,0.731,0.3078125,0.6,18,3,6,3
142,decorare,V,10,Appendere delle immagini alle pareti è un ottimo modo per decorare e personalizzare uno spazio. ,6.06,1.34,01675963-v,0.577,0.262,0.470588235,18,4,4.5,4
144,decorare,V,3,"Ricorda che puoi decorare il calendario come preferisci, perciò usa la tua immaginazione! ",5.24,1.97,01675963-v,0.577,0.279466667,0.461538462,15,3,5,4
141,decorare,V,1,"Potrai decorare la stanza anche con giochi per bambini, quali paperotte di gomma o altri animali. ",5.92,1.29,01675963-v,0.577,0.269333333,0.5625,18,1,18,5
143,decorare,V,4,"Esistono molte maniere per decorare questo spazio, rendendolo invitante e caldo. ",5.62,1.68,01675963-v,0.577,0.298846154,0.636363636,13,2,6.5,4
175,deludere,V,1,Non deludere le aspettative delle persone care. ,2.41,1.58,01798936-v,0.577,0.2595,0.625,9,1,9,3
177,deludere,V,4,"I tuoi amici potrebbero deluderti non apprezzando l'idea, ma sii comprensivo e lavora insieme a loro. ",2.52,1.31,01798936-v,0.654,0.263157895,0.444444444,20,4,5,4
176,deludere,V,11,"Pensa cosa c'è sotto ai tuoi timori, che sia deludere i tuoi genitori o non avere la vita che desideri. ",2.65,1.44,01798936-v,0.577,0.223428571,0.454545455,24,5,4.8,7
178,deludere,V,8,"Se soffri per causa sua, se ti delude ripetutamente, considera di allontanarti da quella storia d'amore. ",2.78,1.46,01798936-v,0.577,0.273764706,0.444444444,21,4,5.25,4
303,demonio,N,8,Ai concerti cerca di fare il simbolo del demonio con la mano per guadagnare punti. ,3.23,1.9,09542339-n,0.538,0.21875,0.470588235,18,3,6,5
304,demonio,N,14,"Nonostante il nome, il satanismo ha davvero poco a che fare con il demonio descritto nella bibbia. ",3.03,2.2,09542339-n,0.538,0.244235294,0.388888889,20,2,10,4
173,detestare,V,4,"Generalmente, i dipendenti detestano i meeting eccessivamente lunghi, e a ragione. ",2.47,1.38,01774426-v,0.654,0.2725,0.636363636,14,1,14,3
174,detestare,V,9,"Se lei ti piace e vuoi che smetta di detestarti, devi scusarti. ",2.3,1.32,01774426-v,0.923,0.291142857,0.5,14,3,4.666666667,5
179,disprezzare,V,8,L'eccesso di sicurezza è un modo di disprezzare le doti e le abilità degli altri. ,2.85,1.38,01774799-v,0.577,0.210266667,0.352941177,18,2,9,5
180,disprezzare,V,7,"Studia ogni stile di lotta e non disprezzare gli altri stili, perché ciò ti indebolirebbe. ",2.56,1.5,01774799-v,0.577,0.257941177,0.533333333,17,3,5.666666667,3
149,distruggere,V,4,Lo stress cronico può distruggere le cellule cerebrali e danneggiare l'ippocampo. ,5.11,2,01564144-v,0.462,0.313615385,0.583333333,13,2,6.5,3
152,distruggere,V,4,"Puoi liberarti delle formiche distruggendo il loro nido, o mettendo delle esche per gli esemplari esploratori. ",6.32,0.93,01656458-v,0.538,0.307647059,0.421052632,21,3,7,3
150,distruggere,V,1,"Per distruggere questi documenti, non è sufficiente gettarli nella spazzatura. ",5.86,1.24,01564144-v,0.462,0.243666667,0.5,14,3,4.666666667,3
153,distruggere,V,11,"Allo stesso tempo, un pettegolezzo può danneggiare una persona, distruggerne la reputazione. ",3.11,1.57,,0.692,0.269142857,0.538461539,16,2,8,3
151,distruggere,V,0,Distruggi il nido di vespe la notte. ,5.93,1.23,01656458-v,0.654,0.264375,0.571428571,8,1,8,4
154,distruggere,V,3,Fare il bullo distrugge la propria reputazione. ,2.3,1.34,,0.5,0.27875,0.571428571,8,2,4,3
159,disturbare,V,12,Le radici delle piante sono piuttosto superficiali perciò quando scavi fallo senza disturbare o danneggiare le radici. ,4.07,1.46,00259755-v,0.538,0.3101875,0.5,19,4,4.75,5
158,disturbare,V,4,Avere lo stomaco pieno disturba il riposo. ,4.07,1.53,02507736-v,0.577,0.283625,0.714285714,8,2,4,3
160,disturbare,V,10,Spazzola delicatamente la superficie senza muovere la pianta stessa o disturbare le sue radici. ,3.63,1.6,00259755-v,0.538,0.315857143,0.571428571,15,3,5,3
156,disturbare,V,9,"Gli scossoni, i dossi e le curve possono disturbare il sonno e farti sentire stanco. ",3.7,1.81,02507736-v,0.538,0.288375,0.533333333,17,2,8.5,4
